Title,Year,Amount (USD),Development Type,Subject area, ,Notes,  2,  3,  4,  5,  6,  7,  8,  9,  10,  11,  12,  13,  14,  15,  16,  17,  18,  19,  20
"MGP8: $4,200 to Noah Marconi for Open Grants Standards Dev",2019,"$4,200",Ecosystem Development,Scalability,,https://github.com/JFickel/EIPs/blob/draft_grant_standard/EIPS/eip-draft_grant_standard.md,,,,,,,,,,,,,,,,,,,
The Secured Path (Moloch contract audit),2019,"$8,243",Moloch DAO - internal,Security,,https://etherscan.io/tx/0x4c7a1b9f2f7684f14b5e0abd0db0a8f6b626cadf68d1753b1c09395930d67fd5,,,,,,,,,,,,,,,,,,,
MGP7: $6K to Kyokan for ETH 2 dev,2019,"$6,000",ETH 2 Development,Tooling,,Is this the same as MGP 10?,,,,,,,,,,,,,,,,,,,
MGP5: $4K to Nomic Labs for MolochPool Audit / Tests,2019,"$4,000",Moloch DAO - internal,Security,,,,,,,,,,,,,,,,,,,,,
MGP4: $6K to Kyokan for ETH 2 dev,2019,"$6,000",ETH 2 Development,Tooling,,,,,,,,,,,,,,,,,,,,,
Proposal 31 - Antoine Toulme,2019,"$15,000",ETH 2 Development,Tooling,Testing,,,,,,,,,,,,,,,,,,,,
Add Rahul to Guild as Lead Web Developer,2019,"$3,000",Moloch DAO - internal,Comms,MolochDAO.com,https://paper.dropbox.com/doc/MGP16-2K-to-Rahul-for-Moloch-App-Dev-DEZzcyPPBPr6MBBt7JVl5,,,,,,,,,,,,,,,,,,,
Grant Proposal: $6K to Kyokan for ETH 2 Dev,2019,"$6,000",ETH 2 Development,Tooling,ETH2 runner,,,,,,,,,,,,,,,,,,,,
"Pay Kyokan $3,000 for The State of ETH 2 Report",2019,"$3,000",ETH 2 Development,Research,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,"$1,382,690",,,,,,,,,,,,,,,,,,,,,,,
