aborted,applicant,cancelled,cancelledAt,didPass,executed,memberAddress,newMember,paymentRequested,paymentTokenDecimals,paymentTokenSymbol,processed,processor,processedAt,proposer,sponsored,sponsor,sponsoredAt,votingPeriodStarts,votingPeriodEnds,yesShares,yesVotes,molochAddress,minionAddress,status,title,description,link,proposalType
FALSE,0xc9283bbd79b016230838e57ce19e6aca12dd2c0d,FALSE,,FALSE,FALSE,0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e,TRUE,0,,,TRUE,0x51702659c5defe636b5b084a5ed16fd1066e6420,1592873135,0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e,TRUE,0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e,1591759536,1591828849,1592433649,0,0,0xee629a192374caf2a72cf1695c485c5c89611ef2,,Failed,v2 Membership proposal #78,"
Membership proposal, assigning shares 1:1 using a funding proposal for MetaCartel v2",https://forum.metacartel.org/t/metacartel-treasury-proposal-2-beginning-moloch-v2-migration/663/10,Member Proposal
FALSE,0x85ac9e682995ebebde8ff107fbbbfe7c40992e4a,FALSE,,TRUE,FALSE,0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e,TRUE,0,,,TRUE,0x51702659c5defe636b5b084a5ed16fd1066e6420,1592873387,0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e,TRUE,0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e,1591759536,1591836049,1592440849,1,1,0xee629a192374caf2a72cf1695c485c5c89611ef2,,Passed,v2 Membership proposal #79,"
Membership proposal, assigning shares 1:1 using a funding proposal for MetaCartel v2",https://forum.metacartel.org/t/metacartel-treasury-proposal-2-beginning-moloch-v2-migration/663/10,Member Proposal
FALSE,0x370ceca4fc1287ed99924bba76259f6c771a6022,FALSE,,FALSE,FALSE,0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e,TRUE,0,,,TRUE,0x51702659c5defe636b5b084a5ed16fd1066e6420,1592869158,0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e,TRUE,0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e,1591754154,1591785649,1592390449,0,0,0xee629a192374caf2a72cf1695c485c5c89611ef2,,Failed,v2 Membership proposal #72,"
Membership proposal, assigning shares 1:1 using a funding proposal for MetaCartel v2",https://forum.metacartel.org/t/metacartel-treasury-proposal-2-beginning-moloch-v2-migration/663/10,Member Proposal
FALSE,0x0eabffd8ce94ab2387fc44ba32642af0c58af433,FALSE,,FALSE,FALSE,0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e,TRUE,0,,,TRUE,0x51702659c5defe636b5b084a5ed16fd1066e6420,1592870340,0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e,TRUE,0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e,1591754154,1591792849,1592397649,0,0,0xee629a192374caf2a72cf1695c485c5c89611ef2,,Failed,v2 Membership proposal #73,"
Membership proposal, assigning shares 1:1 using a funding proposal for MetaCartel v2",https://forum.metacartel.org/t/metacartel-treasury-proposal-2-beginning-moloch-v2-migration/663/10,Member Proposal
FALSE,0x5bfd96e1a7d2f597cc1a602d89fc9fca61207e09,FALSE,,FALSE,FALSE,0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e,TRUE,0,,,TRUE,0x51702659c5defe636b5b084a5ed16fd1066e6420,1592872154,0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e,TRUE,0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e,1591754154,1591800049,1592404849,0,0,0xee629a192374caf2a72cf1695c485c5c89611ef2,,Failed,v2 Membership proposal #74,"
Membership proposal, assigning shares 1:1 using a funding proposal for MetaCartel v2",https://forum.metacartel.org/t/metacartel-treasury-proposal-2-beginning-moloch-v2-migration/663/10,Member Proposal
FALSE,0x0aba55c93cf7292f71067b0ba0d8b464592895ca,FALSE,,FALSE,FALSE,0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e,TRUE,0,,,TRUE,0x51702659c5defe636b5b084a5ed16fd1066e6420,1592872312,0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e,TRUE,0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e,1591754184,1591807249,1592412049,0,0,0xee629a192374caf2a72cf1695c485c5c89611ef2,,Failed,v2 Membership proposal #75,"
Membership proposal, assigning shares 1:1 using a funding proposal for MetaCartel v2",https://forum.metacartel.org/t/metacartel-treasury-proposal-2-beginning-moloch-v2-migration/663/10,Member Proposal
FALSE,0x839395e20bbb182fa440d08f850e6c7a8f6f0780,FALSE,,TRUE,FALSE,0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e,TRUE,0,,,TRUE,0x51702659c5defe636b5b084a5ed16fd1066e6420,1592872536,0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e,TRUE,0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e,1591754184,1591814449,1592419249,10,1,0xee629a192374caf2a72cf1695c485c5c89611ef2,,Passed,v2 Membership proposal #76,"
Membership proposal, assigning shares 1:1 using a funding proposal for MetaCartel v2",https://forum.metacartel.org/t/metacartel-treasury-proposal-2-beginning-moloch-v2-migration/663/10,Member Proposal
FALSE,0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e,FALSE,,FALSE,FALSE,0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e,FALSE,0,,,TRUE,0x51702659c5defe636b5b084a5ed16fd1066e6420,1592868944,0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e,TRUE,0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e,1591754154,1591778449,1592383249,0,0,0xee629a192374caf2a72cf1695c485c5c89611ef2,,Failed,v2 Membership proposal #71,"
Membership proposal, assigning shares 1:1 using a funding proposal for MetaCartel v2",https://forum.metacartel.org/t/metacartel-treasury-proposal-2-beginning-moloch-v2-migration/663/10,Funding Proposal
FALSE,0xbbbfc46566e5f0302cef913af8c8f423070ce6a1,FALSE,,TRUE,FALSE,0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e,TRUE,0,,,TRUE,0x51702659c5defe636b5b084a5ed16fd1066e6420,1594007769,0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e,TRUE,0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e,1592877063,1592930449,1593535249,10,1,0xee629a192374caf2a72cf1695c485c5c89611ef2,,Passed,v2 Membership proposal #69,"
Membership proposal, assigning shares 1:1 using a funding proposal for MetaCartel v2",https://forum.metacartel.org/t/metacartel-treasury-proposal-2-beginning-moloch-v2-migration/663/10,Member Proposal
FALSE,0x66b1de0f14a0ce971f7f248415063d44caf19398,FALSE,,FALSE,FALSE,0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e,TRUE,0,,,TRUE,0x51702659c5defe636b5b084a5ed16fd1066e6420,1592868644,0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e,TRUE,0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e,1591754154,1591771249,1592376049,0,0,0xee629a192374caf2a72cf1695c485c5c89611ef2,,Failed,v2 Membership proposal #70,"
Membership proposal, assigning shares 1:1 using a funding proposal for MetaCartel v2",https://forum.metacartel.org/t/metacartel-treasury-proposal-2-beginning-moloch-v2-migration/663/10,Member Proposal
